link,title,domain,date
https://calsta.ca.gov/-/media/calsta-media/documents/capti-comment-letter.pdf,CAPTI Comment Letter - California State Transportation Agency,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/spur-capti-letter_002.pdf,SPUR CAPTI Letter_002 (PDF),calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/capti-2021-calsta.pdf,CAPTI: Climate Action Plan for Transportation Infrastructure,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/privacy-policy-calsta.pdf,California State Transportation Agency Privacy Policy,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/24-05-03_final_admemo_clean_a11y.pdf,Policy Recommendations to Promote Anti-Displacement ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/final_amended_sra_guidelines_2019-12-31_a11y.pdf,SRA Final Amended Guidelines 2020-21 through 2024-25,calsta.ca.gov,31 dic 2019
https://calsta.ca.gov/-/media/calsta-media/documents/tircp-workshop-presentation.pdf,TIRCP 2020 Guidelines - ▪ Background ▪ Funding for the ...,calsta.ca.gov,15 lug 2020
https://calsta.ca.gov/-/media/calsta-media/documents/reorganization-plan-a11y.pdf,Governor's Reorganization Plan No. 2 of 2012,calsta.ca.gov,3 mag 2012
https://calsta.ca.gov/-/media/calsta-media/documents/capti-support-letterdocx.pdf,Secretary David Kim - California State Transportation Agency,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/iija_safety-subgroup-a11y.pdf,Safety Subgroup presentation slides,calsta.ca.gov,9 mag 2022
https://calsta.ca.gov/-/media/calsta-media/documents/capti-via-comments.pdf,Via Transportation Inc. letter to CAPTI working group,calsta.ca.gov,14 giu 2021
https://calsta.ca.gov/-/media/calsta-media/documents/sb125-disbursement_1_with-projects_a11y.pdf,SB 125 Final Guidelines,calsta.ca.gov,8 lug 2024
https://calsta.ca.gov/-/media/calsta-media/documents/tircp_cycle6_call-for-projects_a11y.pdf,2023 TRANSIT AND INTERCITY RAIL CAPITAL PROGRAM ...,calsta.ca.gov,15 Nov 2022
https://calsta.ca.gov/-/media/calsta-media/documents/iija-rhi-meeting4_20221019_notes_a11y.pdf,"Carbon Reduction Program - October 19, 2022",calsta.ca.gov,19 ott 2022
https://calsta.ca.gov/-/media/calsta-media/documents/capti_nextgen-public-comment.pdf,Letter from NextGen Policy to David S Kim,calsta.ca.gov,19 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/iija-rhi-meeting3_20220722_notes_a11y.pdf,IIJA Reimagining Highway Investments Sub-Working ...,calsta.ca.gov,22 lug 2022
https://calsta.ca.gov/-/media/calsta-media/documents/calsta_sp_one-pager_final-a11y.pdf,CalSTA 2024-2026 Strategic Plan (1-Page),calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/transit_transformation_task_force_meetings_6_and_7_meeting_start_and_end_time_adjustments-a11y.pdf,Transit Transformation Task Force Meetings #6 and #7,calsta.ca.gov,20 set 2024
https://calsta.ca.gov/-/media/calsta-media/documents/capti-stancog-letter_final.pdf,tl- StanCOG - ~ Stanislaus Council of Governments,calsta.ca.gov,18 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/crtp-capti-comments_002.pdf,CRTP CAPTI Comments_002 (PDF),calsta.ca.gov,15 Apr 2021
https://calsta.ca.gov/-/media/calsta-media/documents/iija_kickoff-meetingpacket_031022-a11y.pdf,iija equity sub- working group,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/iija-rhi-meeting3_20220722_presentation_a11y.pdf,IIJA Reimagining Highway Investments Sub-Working Group,calsta.ca.gov,22 lug 2022
https://calsta.ca.gov/-/media/calsta-media/documents/20240612-tircp_faq_final-a11y.pdf,TIRCP Cycle 7: Frequently Asked Questions,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/caltrans-sra-project-concepts.pdf,State Rail Assistance Project Concept Proposals,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/tircp-2020-final-guidelines.pdf,2020 Transit and Intercity Rail Capital Program Guidelines,calsta.ca.gov,18 ott 2019
https://calsta.ca.gov/-/media/calsta-media/documents/calsta-slaa-report-a11y.pdf,Leadership Accountability Report,calsta.ca.gov,28 dic 2021
https://calsta.ca.gov/-/media/calsta-media/documents/13-projects-underway.pdf,Accelerated Delivery Due to SB1Begin Construction July ...,calsta.ca.gov,
https://calsta.ca.gov/-/media/calsta-media/documents/svlg-support-capti_002.pdf,Letter from Silicon Valley Leadership Group to David S Kim,calsta.ca.gov,13 mag 2021
https://calsta.ca.gov/-/media/calsta-media/documents/01262022_iija_wgmting_fgm_slides-a11y.pdf,IIJA FGM presentation,calsta.ca.gov,
